user-7832,389819,2017-11-2,ENTERTAINMENT
user-9306,204731,2017-3-10,ENTERTAINMENT
user-2878,189439,2017-12-6,TRANSPORT
user-3106,20299,2017-5-21,FRUIT
user-5563,497885,2017-7-22,ENTERTAINMENT
user-6723,455229,2017-11-1,TRANSPORT
user-9631,156963,2017-10-24,ENTERTAINMENT
user-6342,84707,2017-11-19,FRUIT
user-9908,428572,2017-8-25,FOOD
user-1689,247872,2017-4-23,FOOD
user-6810,140690,2017-12-22,FRUIT
user-4394,171870,2017-3-2,FRUIT
user-4860,473176,2017-9-25,ENTERTAINMENT
user-8891,485981,2017-4-2,ENTERTAINMENT
user-4103,57467,2017-1-8,ENTERTAINMENT
user-7254,323514,2017-9-17,RENT
user-5928,291443,2017-1-9,FOOD
user-8843,423554,2017-6-3,TRAVEL
user-6418,236806,2017-5-27,TRAVEL
user-1679,295973,2017-12-4,FRUIT
user-8032,325378,2017-9-6,CLOTH
user-2214,478606,2017-5-4,ENTERTAINMENT
user-8305,352881,2017-3-24,RENT
user-6099,224806,2017-7-3,RENT
user-8393,386355,2017-5-22,ENTERTAINMENT
user-2468,96693,2017-3-3,FOOD
user-7885,272331,2017-5-19,CLOTH
user-3744,384302,2017-12-4,TRAVEL
user-8247,104714,2017-12-22,TRAVEL
user-9714,41658,2017-11-11,ENTERTAINMENT
user-4117,478748,2017-6-19,RENT
user-2409,221183,2017-7-26,FRUIT
user-8446,436532,2017-10-15,RENT
user-2660,357870,2017-7-18,ENTERTAINMENT
user-1386,199956,2017-6-13,RENT
user-8907,392473,2017-1-6,ENTERTAINMENT
user-2030,448475,2017-9-3,ENTERTAINMENT
user-2464,445512,2017-11-2,FRUIT
user-8877,432282,2017-2-13,TRANSPORT
user-9280,331209,2017-10-18,RENT
user-2358,171061,2017-8-18,ENTERTAINMENT
user-9536,111433,2017-7-8,TRANSPORT
user-6913,126785,2017-9-4,TRANSPORT
user-9821,454517,2017-7-1,ENTERTAINMENT
user-2679,465410,2017-11-24,TRAVEL
user-3177,468990,2017-6-6,RENT
user-9651,207449,2017-9-8,FRUIT
user-7479,6229,2017-2-11,CLOTH
user-1901,149667,2017-4-8,TRANSPORT
user-7282,36596,2017-6-21,RENT
user-2227,375560,2017-1-2,FOOD
user-6156,95461,2017-1-25,TRANSPORT
user-7172,108258,2017-10-16,TRANSPORT
user-8420,221978,2017-11-10,FOOD
user-5153,135338,2017-11-8,CLOTH
user-2004,92845,2017-7-14,FOOD
user-2898,277328,2017-11-13,TRANSPORT
user-5809,328292,2017-10-25,RENT
user-9312,275268,2017-1-23,FRUIT
user-4098,45867,2017-12-5,TRANSPORT
user-1264,426450,2017-2-3,RENT
user-2690,356745,2017-1-17,TRANSPORT
user-6088,369740,2017-3-13,FRUIT
user-1934,441922,2017-11-12,FOOD
user-6968,145764,2017-2-19,TRAVEL
user-7253,118203,2017-1-21,ENTERTAINMENT
user-1583,46093,2017-10-21,FOOD
user-4790,261506,2017-5-24,FOOD
user-1911,395244,2017-11-15,RENT
user-1178,174384,2017-10-10,FRUIT
user-5419,354939,2017-11-1,FOOD
user-4232,375618,2017-10-26,ENTERTAINMENT
user-7422,348126,2017-12-18,ENTERTAINMENT
user-8598,18061,2017-11-22,FRUIT
user-6976,291776,2017-10-15,TRAVEL
user-5051,274992,2017-9-4,FOOD
user-7923,122567,2017-9-11,FRUIT
user-5969,45458,2017-8-18,TRANSPORT
user-3082,98330,2017-6-22,TRAVEL
user-7861,121144,2017-10-13,RENT
user-6195,433857,2017-12-27,FOOD
user-5243,298155,2017-7-5,TRAVEL
user-8495,155877,2017-5-2,RENT
user-9283,261479,2017-10-21,TRAVEL
user-1771,477932,2017-2-6,FRUIT
user-7139,224494,2017-9-14,TRANSPORT
user-5474,430450,2017-10-8,RENT
user-2439,307683,2017-1-1,TRAVEL
user-3102,362582,2017-1-12,RENT
user-8138,110084,2017-11-21,CLOTH
user-9540,381431,2017-5-12,TRAVEL
user-9274,314240,2017-9-22,RENT
user-2522,167350,2017-7-8,FOOD
user-3639,64964,2017-2-14,ENTERTAINMENT
user-5210,307714,2017-12-6,TRANSPORT
user-5083,192677,2017-12-14,RENT
user-2097,18163,2017-11-23,TRANSPORT
user-1229,490267,2017-7-26,FRUIT
user-5483,476750,2017-5-3,FRUIT
user-1208,54742,2017-2-3,ENTERTAINMENT
user-5799,498163,2017-1-5,FRUIT
user-4949,403599,2017-2-8,TRAVEL
user-5243,492619,2017-7-15,RENT
user-2585,468976,2017-3-23,CLOTH
user-4218,317176,2017-11-19,CLOTH
user-8571,486321,2017-3-21,CLOTH
user-5785,348495,2017-7-21,ENTERTAINMENT
user-1681,126447,2017-5-3,TRANSPORT
user-9679,7491,2017-7-27,TRANSPORT
user-9527,477691,2017-4-26,CLOTH
user-2900,293438,2017-3-24,ENTERTAINMENT
user-1876,328120,2017-11-12,CLOTH
